info,year 1,year 2,year 3,year 4,year 5,model year,model,engine,cost
Fuel,3149,3243,3340,3441,3544,2023,Acura MDX 4dr SUV AWD w/A-Spec Package,3.5L 6cyl 10A,60900
Insurance,1362,1410,1459,1510,1563,2023,Acura MDX 4dr SUV AWD w/Technology Package,3.5L 6cyl 10A,57623
Maintenance,34,521,516,2180,976,2023,Acura MDX 4dr SUV AWD w/Technology Package,3.5L 6cyl 10A,57623
Repairs,0,0,0,409,624,2023,Acura MDX 4dr SUV AWD w/Technology Package,3.5L 6cyl 10A,57623
Taxes_Fees,3633,259,232,211,211,2023,Acura MDX 4dr SUV AWD w/Technology Package,3.5L 6cyl 10A,57623
Financing,4558,3714,2787,1768,647,2023,Acura MDX 4dr SUV AWD w/Technology Package,3.5L 6cyl 10A,57623
Depreciation,12076,5046,4122,4620,4036,2023,Acura MDX 4dr SUV AWD w/Technology Package,3.5L 6cyl 10A,57623
Fuel,3149,3243,3340,3441,3544,2023,Acura MDX 4dr SUV AWD w/Technology Package,3.5L 6cyl 10A,57623
Insurance,1347,1394,1443,1493,1546,2023,Acura MDX 4dr SUV w/Technology Package,3.5L 6cyl 10A,56236
Maintenance,34,521,516,2027,976,2023,Acura MDX 4dr SUV w/Technology Package,3.5L 6cyl 10A,56236
Repairs,0,0,0,365,556,2023,Acura MDX 4dr SUV w/Technology Package,3.5L 6cyl 10A,56236
Taxes_Fees,3546,253,227,205,205,2023,Acura MDX 4dr SUV w/Technology Package,3.5L 6cyl 10A,56236
Financing,4448,3625,2720,1725,632,2023,Acura MDX 4dr SUV w/Technology Package,3.5L 6cyl 10A,56236
Depreciation,11877,5000,4086,4578,4002,2023,Acura MDX 4dr SUV w/Technology Package,3.5L 6cyl 10A,56236
Fuel,3008,3098,3191,3287,3385,2023,Acura MDX 4dr SUV w/Technology Package,3.5L 6cyl 10A,56236
Insurance,1365,1413,1462,1513,1566,2023,Acura MDX Type S 4dr SUV AWD,3.0L 6cyl Turbo 10A,68268
Maintenance,61,704,345,3243,1023,2023,Acura MDX Type S 4dr SUV AWD,3.0L 6cyl Turbo 10A,68268
Repairs,0,0,0,462,707,2023,Acura MDX Type S 4dr SUV AWD,3.0L 6cyl Turbo 10A,68268
Taxes_Fees,4303,307,275,249,249,2023,Acura MDX Type S 4dr SUV AWD,3.0L 6cyl Turbo 10A,68268
Financing,5400,4400,3302,2094,768,2023,Acura MDX Type S 4dr SUV AWD,3.0L 6cyl Turbo 10A,68268
Depreciation,13852,5878,4804,5382,4702,2023,Acura MDX Type S 4dr SUV AWD,3.0L 6cyl Turbo 10A,68268
Fuel,3479,3584,3691,3802,3916,2023,Acura MDX Type S 4dr SUV AWD,3.0L 6cyl Turbo 10A,68268
Insurance,1365,1413,1462,1513,1566,2023,Acura MDX Type S 4dr SUV AWD w/Advance Package,3.0L 6cyl Turbo 10A,75319
Maintenance,61,704,345,3243,1023,2023,Acura MDX Type S 4dr SUV AWD w/Advance Package,3.0L 6cyl Turbo 10A,75319
Repairs,0,0,0,462,707,2023,Acura MDX Type S 4dr SUV AWD w/Advance Package,3.0L 6cyl Turbo 10A,75319
Taxes_Fees,4746,339,303,275,275,2023,Acura MDX Type S 4dr SUV AWD w/Advance Package,3.0L 6cyl Turbo 10A,75319
Financing,5957,4855,3643,2311,846,2023,Acura MDX Type S 4dr SUV AWD w/Advance Package,3.0L 6cyl Turbo 10A,75319
Depreciation,16577,6334,5176,5799,5066,2023,Acura MDX Type S 4dr SUV AWD w/Advance Package,3.0L 6cyl Turbo 10A,75319
Fuel,3479,3584,3691,3802,3916,2023,Acura MDX Type S 4dr SUV AWD w/Advance Package,3.0L 6cyl Turbo 10A,75319
Insurance,1193,1235,1278,1323,1369,2023,Acura RDX 4dr SUV,2.0L 4cyl Turbo 10A,43982
Maintenance,96,636,393,2238,2061,2023,Acura RDX 4dr SUV,2.0L 4cyl Turbo 10A,43982
Repairs,0,0,0,419,640,2023,Acura RDX 4dr SUV,2.0L 4cyl Turbo 10A,43982
Taxes_Fees,2776,198,177,161,161,2023,Acura RDX 4dr SUV,2.0L 4cyl Turbo 10A,43982
Financing,3479,2835,2127,1349,495,2023,Acura RDX 4dr SUV,2.0L 4cyl Turbo 10A,43982
Depreciation,10613,3090,2525,2830,2472,2023,Acura RDX 4dr SUV,2.0L 4cyl Turbo 10A,43982
Fuel,2756,2839,2924,3012,3102,2023,Acura RDX 4dr SUV,2.0L 4cyl Turbo 10A,43982
Insurance,1214,1256,1300,1346,1393,2023,Acura RDX 4dr SUV AWD,2.0L 4cyl Turbo 10A,46293
Maintenance,96,636,393,2340,1957,2023,Acura RDX 4dr SUV AWD,2.0L 4cyl Turbo 10A,46293
Repairs,0,0,0,462,707,2023,Acura RDX 4dr SUV AWD,2.0L 4cyl Turbo 10A,46293
Taxes_Fees,2921,208,186,169,169,2023,Acura RDX 4dr SUV AWD,2.0L 4cyl Turbo 10A,46293
Financing,3662,2984,2238,1421,520,2023,Acura RDX 4dr SUV AWD,2.0L 4cyl Turbo 10A,46293
Depreciation,10701,3091,2526,2833,2475,2023,Acura RDX 4dr SUV AWD,2.0L 4cyl Turbo 10A,46293
Fuel,2875,2962,3050,3142,3236,2023,Acura RDX 4dr SUV AWD,2.0L 4cyl Turbo 10A,46293
Insurance,1273,1318,1364,1411,1461,2023,Acura RDX 4dr SUV AWD w/Advance Package,2.0L 4cyl Turbo 10A,53699
Maintenance,96,636,393,2162,1779,2023,Acura RDX 4dr SUV AWD w/Advance Package,2.0L 4cyl Turbo 10A,53699
Repairs,0,0,0,462,707,2023,Acura RDX 4dr SUV AWD w/Advance Package,2.0L 4cyl Turbo 10A,53699
Taxes_Fees,3387,241,216,196,196,2023,Acura RDX 4dr SUV AWD w/Advance Package,2.0L 4cyl Turbo 10A,53699
Financing,4247,3462,2597,1647,604,2023,Acura RDX 4dr SUV AWD w/Advance Package,2.0L 4cyl Turbo 10A,53699
Depreciation,12404,4488,3666,4109,3590,2023,Acura RDX 4dr SUV AWD w/Advance Package,2.0L 4cyl Turbo 10A,53699
Fuel,2875,2962,3050,3142,3236,2023,Acura RDX 4dr SUV AWD w/Advance Package,2.0L 4cyl Turbo 10A,53699
Insurance,1254,1298,1343,1390,1439,2023,Acura RDX 4dr SUV AWD w/A-Spec and Advance Packages,2.0L 4cyl Turbo 10A,55642
Maintenance,96,636,393,2162,1779,2023,Acura RDX 4dr SUV AWD w/A-Spec and Advance Packages,2.0L 4cyl Turbo 10A,55642
Repairs,0,0,0,462,707,2023,Acura RDX 4dr SUV AWD w/A-Spec and Advance Packages,2.0L 4cyl Turbo 10A,55642
Taxes_Fees,3509,250,224,203,203,2023,Acura RDX 4dr SUV AWD w/A-Spec and Advance Packages,2.0L 4cyl Turbo 10A,55642
Financing,4401,3587,2691,1707,625,2023,Acura RDX 4dr SUV AWD w/A-Spec and Advance Packages,2.0L 4cyl Turbo 10A,55642
Depreciation,12290,4395,3591,4027,3518,2023,Acura RDX 4dr SUV AWD w/A-Spec and Advance Packages,2.0L 4cyl Turbo 10A,55642
Fuel,2875,2962,3050,3142,3236,2023,Acura RDX 4dr SUV AWD w/A-Spec and Advance Packages,2.0L 4cyl Turbo 10A,55642
Insurance,1254,1298,1343,1390,1439,2023,Acura RDX 4dr SUV AWD w/A-Spec Package,2.0L 4cyl Turbo 10A,51190
Maintenance,96,636,393,2162,1779,2023,Acura RDX 4dr SUV AWD w/A-Spec Package,2.0L 4cyl Turbo 10A,51190
Repairs,0,0,0,462,707,2023,Acura RDX 4dr SUV AWD w/A-Spec Package,2.0L 4cyl Turbo 10A,51190
Taxes_Fees,3230,230,206,187,187,2023,Acura RDX 4dr SUV AWD w/A-Spec Package,2.0L 4cyl Turbo 10A,51190
Financing,4049,3299,2476,1571,575,2023,Acura RDX 4dr SUV AWD w/A-Spec Package,2.0L 4cyl Turbo 10A,51190
Depreciation,11122,3846,3144,3522,3078,2023,Acura RDX 4dr SUV AWD w/A-Spec Package,2.0L 4cyl Turbo 10A,51190
Fuel,2875,2962,3050,3142,3236,2023,Acura RDX 4dr SUV AWD w/A-Spec Package,2.0L 4cyl Turbo 10A,51190
Insurance,1254,1298,1343,1390,1439,2023,Acura RDX 4dr SUV AWD w/Technology Package,2.0L 4cyl Turbo 10A,48805
Maintenance,96,636,393,2162,1779,2023,Acura RDX 4dr SUV AWD w/Technology Package,2.0L 4cyl Turbo 10A,48805
Repairs,0,0,0,462,707,2023,Acura RDX 4dr SUV AWD w/Technology Package,2.0L 4cyl Turbo 10A,48805
Taxes_Fees,3080,219,197,178,178,2023,Acura RDX 4dr SUV AWD w/Technology Package,2.0L 4cyl Turbo 10A,48805
Financing,3860,3146,2361,1497,548,2023,Acura RDX 4dr SUV AWD w/Technology Package,2.0L 4cyl Turbo 10A,48805
Depreciation,10990,3880,3169,3552,3104,2023,Acura RDX 4dr SUV AWD w/Technology Package,2.0L 4cyl Turbo 10A,48805
Fuel,2875,2962,3050,3142,3236,2023,Acura RDX 4dr SUV AWD w/Technology Package,2.0L 4cyl Turbo 10A,48805
Insurance,1256,1300,1345,1393,1441,2023,Acura RDX 4dr SUV w/A-Spec Package,2.0L 4cyl Turbo 10A,49759
Maintenance,96,636,393,2060,1883,2023,Acura RDX 4dr SUV w/A-Spec Package,2.0L 4cyl Turbo 10A,49759
Repairs,0,0,0,419,640,2023,Acura RDX 4dr SUV w/A-Spec Package,2.0L 4cyl Turbo 10A,49759
Taxes_Fees,3139,224,200,182,182,2023,Acura RDX 4dr SUV w/A-Spec Package,2.0L 4cyl Turbo 10A,49759
Financing,3936,3207,2407,1526,559,2023,Acura RDX 4dr SUV w/A-Spec Package,2.0L 4cyl Turbo 10A,49759
Depreciation,10653,4010,3279,3674,3211,2023,Acura RDX 4dr SUV w/A-Spec Package,2.0L 4cyl Turbo 10A,49759
Fuel,2756,2839,2924,3012,3102,2023,Acura RDX 4dr SUV w/A-Spec Package,2.0L 4cyl Turbo 10A,49759
Insurance,1231,1274,1319,1365,1413,2023,Acura RDX 4dr SUV w/Technology Package,2.0L 4cyl Turbo 10A,46943
Maintenance,96,636,393,2060,1883,2023,Acura RDX 4dr SUV w/Technology Package,2.0L 4cyl Turbo 10A,46943
Repairs,0,0,0,419,640,2023,Acura RDX 4dr SUV w/Technology Package,2.0L 4cyl Turbo 10A,46943
Taxes_Fees,2962,211,189,172,172,2023,Acura RDX 4dr SUV w/Technology Package,2.0L 4cyl Turbo 10A,46943
Financing,3713,3026,2270,1440,528,2023,Acura RDX 4dr SUV w/Technology Package,2.0L 4cyl Turbo 10A,46943
Depreciation,11610,3571,2917,3272,2858,2023,Acura RDX 4dr SUV w/Technology Package,2.0L 4cyl Turbo 10A,46943
Fuel,2756,2839,2924,3012,3102,2023,Acura RDX 4dr SUV w/Technology Package,2.0L 4cyl Turbo 10A,46943
Insurance,1544,1598,1654,1712,1772,2023,Acura TLX 4dr Sedan AWD w/A-Spec Package,2.0L 4cyl Turbo 10A,50624
Maintenance,86,440,386,2465,2049,2023,Acura TLX 4dr Sedan AWD w/A-Spec Package,2.0L 4cyl Turbo 10A,50624
Repairs,0,0,0,462,707,2023,Acura TLX 4dr Sedan AWD w/A-Spec Package,2.0L 4cyl Turbo 10A,50624
Taxes_Fees,3194,228,204,185,185,2023,Acura TLX 4dr Sedan AWD w/A-Spec Package,2.0L 4cyl Turbo 10A,50624
Financing,4004,3263,2449,1553,569,2023,Acura TLX 4dr Sedan AWD w/A-Spec Package,2.0L 4cyl Turbo 10A,50624
Depreciation,12049,3906,3192,3575,3126,2023,Acura TLX 4dr Sedan AWD w/A-Spec Package,2.0L 4cyl Turbo 10A,50624
Fuel,2756,2839,2924,3012,3102,2023,Acura TLX 4dr Sedan AWD w/A-Spec Package,2.0L 4cyl Turbo 10A,50624
Insurance,1387,1436,1486,1538,1592,2023,Acura TLX Sedan 4dr Sedan,2.0L 4cyl Turbo 10A,43177
Maintenance,86,440,386,2355,2175,2023,Acura TLX Sedan 4dr Sedan,2.0L 4cyl Turbo 10A,43177
Repairs,0,0,0,419,640,2023,Acura TLX Sedan 4dr Sedan,2.0L 4cyl Turbo 10A,43177
Taxes_Fees,2725,194,174,158,158,2023,Acura TLX Sedan 4dr Sedan,2.0L 4cyl Turbo 10A,43177
Financing,3415,2783,2088,1325,485,2023,Acura TLX Sedan 4dr Sedan,2.0L 4cyl Turbo 10A,43177
Depreciation,11881,3120,2550,2858,2497,2023,Acura TLX Sedan 4dr Sedan,2.0L 4cyl Turbo 10A,43177
Fuel,2646,2725,2807,2891,2978,2023,Acura TLX Sedan 4dr Sedan,2.0L 4cyl Turbo 10A,43177
Insurance,1544,1598,1654,1712,1772,2023,Acura TLX Sedan 4dr Sedan AWD w/Advance Package,2.0L 4cyl Turbo 10A,53065
Maintenance,86,440,386,2465,2049,2023,Acura TLX Sedan 4dr Sedan AWD w/Advance Package,2.0L 4cyl Turbo 10A,53065
Repairs,0,0,0,462,707,2023,Acura TLX Sedan 4dr Sedan AWD w/Advance Package,2.0L 4cyl Turbo 10A,53065
Taxes_Fees,3347,239,214,194,194,2023,Acura TLX Sedan 4dr Sedan AWD w/Advance Package,2.0L 4cyl Turbo 10A,53065
Financing,4197,3421,2566,1628,597,2023,Acura TLX Sedan 4dr Sedan AWD w/Advance Package,2.0L 4cyl Turbo 10A,53065
Depreciation,13282,3928,3209,3595,3141,2023,Acura TLX Sedan 4dr Sedan AWD w/Advance Package,2.0L 4cyl Turbo 10A,53065
Fuel,2756,2839,2924,3012,3102,2023,Acura TLX Sedan 4dr Sedan AWD w/Advance Package,2.0L 4cyl Turbo 10A,53065
Insurance,1475,1527,1580,1635,1693,2023,Acura TLX Sedan 4dr Sedan w/A-Spec Package,2.0L 4cyl Turbo 10A,49613
Maintenance,86,440,386,2355,2175,2023,Acura TLX Sedan 4dr Sedan w/A-Spec Package,2.0L 4cyl Turbo 10A,49613
Repairs,0,0,0,419,640,2023,Acura TLX Sedan 4dr Sedan w/A-Spec Package,2.0L 4cyl Turbo 10A,49613
Taxes_Fees,3130,223,200,181,181,2023,Acura TLX Sedan 4dr Sedan w/A-Spec Package,2.0L 4cyl Turbo 10A,49613
Financing,3924,3198,2400,1522,557,2023,Acura TLX Sedan 4dr Sedan w/A-Spec Package,2.0L 4cyl Turbo 10A,49613
Depreciation,13562,3460,2828,3169,2769,2023,Acura TLX Sedan 4dr Sedan w/A-Spec Package,2.0L 4cyl Turbo 10A,49613
Fuel,2646,2725,2807,2891,2978,2023,Acura TLX Sedan 4dr Sedan w/A-Spec Package,2.0L 4cyl Turbo 10A,49613
Insurance,1368,1416,1465,1517,1570,2023,Acura TLX Sedan 4dr Sedan w/Technology Package,2.0L 4cyl Turbo 10A,45892
Maintenance,86,440,386,2355,2175,2023,Acura TLX Sedan 4dr Sedan w/Technology Package,2.0L 4cyl Turbo 10A,45892
Repairs,0,0,0,419,640,2023,Acura TLX Sedan 4dr Sedan w/Technology Package,2.0L 4cyl Turbo 10A,45892
Taxes_Fees,2896,206,185,168,168,2023,Acura TLX Sedan 4dr Sedan w/Technology Package,2.0L 4cyl Turbo 10A,45892
Financing,3630,2958,2220,1407,516,2023,Acura TLX Sedan 4dr Sedan w/Technology Package,2.0L 4cyl Turbo 10A,45892
Depreciation,13374,2992,2445,2740,2393,2023,Acura TLX Sedan 4dr Sedan w/Technology Package,2.0L 4cyl Turbo 10A,45892
Fuel,2646,2725,2807,2891,2978,2023,Acura TLX Sedan 4dr Sedan w/Technology Package,2.0L 4cyl Turbo 10A,45892
Insurance,1544,1598,1654,1712,1772,2023,Acura TLX Sedan Type S 4dr Sedan AWD,3.0L 6cyl Turbo 10A,59096
Maintenance,86,445,391,2618,2198,2023,Acura TLX Sedan Type S 4dr Sedan AWD,3.0L 6cyl Turbo 10A,59096
Repairs,0,0,0,462,707,2023,Acura TLX Sedan Type S 4dr Sedan AWD,3.0L 6cyl Turbo 10A,59096
Taxes_Fees,3726,266,238,216,216,2023,Acura TLX Sedan Type S 4dr Sedan AWD,3.0L 6cyl Turbo 10A,59096
Financing,4674,3809,2859,1813,664,2023,Acura TLX Sedan Type S 4dr Sedan AWD,3.0L 6cyl Turbo 10A,59096
Depreciation,15796,4266,3485,3905,3412,2023,Acura TLX Sedan Type S 4dr Sedan AWD,3.0L 6cyl Turbo 10A,59096
Fuel,3149,3243,3340,3441,3544,2023,Acura TLX Sedan Type S 4dr Sedan AWD,3.0L 6cyl Turbo 10A,59096
Insurance,1544,1598,1654,1712,1772,2023,Acura TLX Sedan Type S 4dr Sedan AWD w/Performance Wheel & Tire Package,3.0L 6cyl Turbo 10A,59072
Maintenance,86,445,391,2618,2198,2023,Acura TLX Sedan Type S 4dr Sedan AWD w/Performance Wheel & Tire Package,3.0L 6cyl Turbo 10A,59072
Repairs,0,0,0,462,707,2023,Acura TLX Sedan Type S 4dr Sedan AWD w/Performance Wheel & Tire Package,3.0L 6cyl Turbo 10A,59072
Taxes_Fees,3725,266,238,216,216,2023,Acura TLX Sedan Type S 4dr Sedan AWD w/Performance Wheel & Tire Package,3.0L 6cyl Turbo 10A,59072
Financing,4672,3808,2857,1812,664,2023,Acura TLX Sedan Type S 4dr Sedan AWD w/Performance Wheel & Tire Package,3.0L 6cyl Turbo 10A,59072
Depreciation,15215,4326,3534,3960,3460,2023,Acura TLX Sedan Type S 4dr Sedan AWD w/Performance Wheel & Tire Package,3.0L 6cyl Turbo 10A,59072
Fuel,3149,3243,3340,3441,3544,2023,Acura TLX Sedan Type S 4dr Sedan AWD w/Performance Wheel & Tire Package,3.0L 6cyl Turbo 10A,59072
Insurance,1544,1598,1654,1712,1772,2023,Acura TLX Sedan Type S PMC Edition 4dr Sedan AWD,3.0L 6cyl Turbo 10A,66663
Maintenance,86,445,391,1317,896,2023,Acura TLX Sedan Type S PMC Edition 4dr Sedan AWD,3.0L 6cyl Turbo 10A,66663
Repairs,0,0,0,462,707,2023,Acura TLX Sedan Type S PMC Edition 4dr Sedan AWD,3.0L 6cyl Turbo 10A,66663
Taxes_Fees,4202,300,269,244,244,2023,Acura TLX Sedan Type S PMC Edition 4dr Sedan AWD,3.0L 6cyl Turbo 10A,66663
Financing,5273,4297,3224,2045,749,2023,Acura TLX Sedan Type S PMC Edition 4dr Sedan AWD,3.0L 6cyl Turbo 10A,66663
Depreciation,17831,4811,3930,4404,3847,2023,Acura TLX Sedan Type S PMC Edition 4dr Sedan AWD,3.0L 6cyl Turbo 10A,66663
Fuel,3149,3243,3340,3441,3544,2023,Acura TLX Sedan Type S PMC Edition 4dr Sedan AWD,3.0L 6cyl Turbo 10A,66663
Insurance,1544,1598,1654,1712,1772,2023,Acura TLX SedanS 4dr Sedan AWD w/Performance Wheel & Tire Package,3.0L 6cyl Turbo 10A,59072
Maintenance,86,445,391,2618,2198,2023,Acura TLX SedanS 4dr Sedan AWD w/Performance Wheel & Tire Package,3.0L 6cyl Turbo 10A,59072
Repairs,0,0,0,462,707,2023,Acura TLX SedanS 4dr Sedan AWD w/Performance Wheel & Tire Package,3.0L 6cyl Turbo 10A,59072
Taxes_Fees,3725,266,238,216,216,2023,Acura TLX SedanS 4dr Sedan AWD w/Performance Wheel & Tire Package,3.0L 6cyl Turbo 10A,59072
Financing,4672,3808,2857,1812,664,2023,Acura TLX SedanS 4dr Sedan AWD w/Performance Wheel & Tire Package,3.0L 6cyl Turbo 10A,59072
Depreciation,15215,4326,3534,3960,3460,2023,Acura TLX SedanS 4dr Sedan AWD w/Performance Wheel & Tire Package,3.0L 6cyl Turbo 10A,59072
Fuel,3149,3243,3340,3441,3544,2023,Acura TLX SedanS 4dr Sedan AWD w/Performance Wheel & Tire Package,3.0L 6cyl Turbo 10A,59072
