info,year 1,year 2,year 3,year 4,year 5,model year,model,engine,cost
Fuel,1627,1676,1727,1778,1832,2023,Audi A3 Premium 4dr Sedan w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,37052
Insurance,1459,1510,1563,1618,1674,2023,Audi A3 Premium Plus 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,41705
Maintenance,273,953,904,2173,1183,2023,Audi A3 Premium Plus 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,41705
Repairs,0,0,0,858,1310,2023,Audi A3 Premium Plus 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,41705
Taxes_Fees,2790,199,178,162,162,2023,Audi A3 Premium Plus 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,41705
Financing,3299,2688,2017,1279,469,2023,Audi A3 Premium Plus 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,41705
Depreciation,10392,2673,2182,2447,2139,2023,Audi A3 Premium Plus 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,41705
Fuel,1735,1787,1841,1896,1953,2023,Audi A3 Premium Plus 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,41705
Insurance,1437,1487,1539,1593,1649,2023,Audi A3 Premium Plus 4dr Sedan w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,40462
Maintenance,273,953,904,2173,1183,2023,Audi A3 Premium Plus 4dr Sedan w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,40462
Repairs,0,0,0,812,1240,2023,Audi A3 Premium Plus 4dr Sedan w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,40462
Taxes_Fees,2712,193,173,157,157,2023,Audi A3 Premium Plus 4dr Sedan w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,40462
Financing,3200,2608,1957,1242,454,2023,Audi A3 Premium Plus 4dr Sedan w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,40462
Depreciation,9981,2630,2149,2409,2105,2023,Audi A3 Premium Plus 4dr Sedan w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,40462
Fuel,1627,1676,1727,1778,1832,2023,Audi A3 Premium Plus 4dr Sedan w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,40462
Insurance,1336,1383,1431,1481,1533,2023,Audi A4 allroad Premium 4dr Wagon AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,51461
Maintenance,166,851,1081,2550,1209,2023,Audi A4 allroad Premium 4dr Wagon AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,51461
Repairs,0,0,0,858,1310,2023,Audi A4 allroad Premium 4dr Wagon AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,51461
Taxes_Fees,3246,231,207,188,188,2023,Audi A4 allroad Premium 4dr Wagon AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,51461
Financing,4070,3317,2489,1579,578,2023,Audi A4 allroad Premium 4dr Wagon AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,51461
Depreciation,15698,3362,2746,3079,2692,2023,Audi A4 allroad Premium 4dr Wagon AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,51461
Fuel,2545,2621,2700,2781,2864,2023,Audi A4 allroad Premium 4dr Wagon AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,51461
Insurance,1344,1391,1440,1490,1542,2023,Audi A4 allroad Premium Plus 4dr Wagon AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,56428
Maintenance,166,851,1081,2550,1209,2023,Audi A4 allroad Premium Plus 4dr Wagon AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,56428
Repairs,0,0,0,858,1310,2023,Audi A4 allroad Premium Plus 4dr Wagon AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,56428
Taxes_Fees,3558,254,227,206,206,2023,Audi A4 allroad Premium Plus 4dr Wagon AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,56428
Financing,4463,3637,2730,1731,634,2023,Audi A4 allroad Premium Plus 4dr Wagon AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,56428
Depreciation,17274,3681,3006,3371,2947,2023,Audi A4 allroad Premium Plus 4dr Wagon AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,56428
Fuel,2545,2621,2700,2781,2864,2023,Audi A4 allroad Premium Plus 4dr Wagon AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,56428
Insurance,1347,1394,1443,1493,1546,2023,Audi A4 allroad Prestige 4dr Wagon AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,58696
Maintenance,166,851,1081,2550,1209,2023,Audi A4 allroad Prestige 4dr Wagon AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,58696
Repairs,0,0,0,858,1310,2023,Audi A4 allroad Prestige 4dr Wagon AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,58696
Taxes_Fees,3701,264,236,214,214,2023,Audi A4 allroad Prestige 4dr Wagon AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,58696
Financing,4643,3783,2839,1801,659,2023,Audi A4 allroad Prestige 4dr Wagon AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,58696
Depreciation,16855,3944,3221,3612,3158,2023,Audi A4 allroad Prestige 4dr Wagon AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,58696
Fuel,2545,2621,2700,2781,2864,2023,Audi A4 allroad Prestige 4dr Wagon AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,58696
Insurance,1525,1578,1634,1691,1750,2023,Audi A4 Premium 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,40632
Maintenance,269,945,900,2232,1179,2023,Audi A4 Premium 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,40632
Repairs,0,0,0,858,1310,2023,Audi A4 Premium 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,40632
Taxes_Fees,2817,201,180,163,163,2023,Audi A4 Premium 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,40632
Financing,3214,2619,1965,1247,456,2023,Audi A4 Premium 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,40632
Depreciation,9531,2970,2428,2721,2377,2023,Audi A4 Premium 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,40632
Fuel,2364,2435,2508,2583,2660,2023,Audi A4 Premium 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,40632
Insurance,1557,1611,1668,1726,1787,2023,Audi A4 Premium Plus 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,44125
Maintenance,269,945,900,2486,1179,2023,Audi A4 Premium Plus 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,44125
Repairs,0,0,0,858,1310,2023,Audi A4 Premium Plus 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,44125
Taxes_Fees,3036,216,194,176,176,2023,Audi A4 Premium Plus 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,44125
Financing,3490,2844,2134,1354,496,2023,Audi A4 Premium Plus 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,44125
Depreciation,10585,3203,2618,2935,2564,2023,Audi A4 Premium Plus 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,44125
Fuel,2364,2435,2508,2583,2660,2023,Audi A4 Premium Plus 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,44125
Insurance,1600,1656,1714,1774,1836,2023,Audi A4 Premium Plus S line 4dr Sedan AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,47023
Maintenance,269,945,900,2486,1179,2023,Audi A4 Premium Plus S line 4dr Sedan AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,47023
Repairs,0,0,0,858,1310,2023,Audi A4 Premium Plus S line 4dr Sedan AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,47023
Taxes_Fees,3218,229,206,186,186,2023,Audi A4 Premium Plus S line 4dr Sedan AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,47023
Financing,3719,3031,2275,1442,529,2023,Audi A4 Premium Plus S line 4dr Sedan AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,47023
Depreciation,12726,3372,2754,3089,2698,2023,Audi A4 Premium Plus S line 4dr Sedan AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,47023
Fuel,2452,2526,2601,2679,2760,2023,Audi A4 Premium Plus S line 4dr Sedan AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,47023
Insurance,1564,1619,1675,1734,1795,2023,Audi A4 Premium S line 4dr Sedan AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,41987
Maintenance,269,945,900,2486,1179,2023,Audi A4 Premium S line 4dr Sedan AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,41987
Repairs,0,0,0,858,1310,2023,Audi A4 Premium S line 4dr Sedan AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,41987
Taxes_Fees,2902,207,185,168,168,2023,Audi A4 Premium S line 4dr Sedan AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,41987
Financing,3321,2706,2031,1288,472,2023,Audi A4 Premium S line 4dr Sedan AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,41987
Depreciation,8202,3598,2939,3294,2880,2023,Audi A4 Premium S line 4dr Sedan AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,41987
Fuel,2452,2526,2601,2679,2760,2023,Audi A4 Premium S line 4dr Sedan AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,41987
Insurance,1574,1629,1686,1745,1806,2023,Audi A4 Prestige 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,48849
Maintenance,269,945,900,2486,1179,2023,Audi A4 Prestige 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,48849
Repairs,0,0,0,858,1310,2023,Audi A4 Prestige 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,48849
Taxes_Fees,3334,238,213,193,193,2023,Audi A4 Prestige 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,48849
Financing,3864,3148,2363,1499,549,2023,Audi A4 Prestige 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,48849
Depreciation,12299,3488,2851,3196,2792,2023,Audi A4 Prestige 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,48849
Fuel,2364,2435,2508,2583,2660,2023,Audi A4 Prestige 4dr Sedan AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,48849
Insurance,1574,1629,1686,1745,1806,2023,Audi A4 Prestige S line 4dr Sedan AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,51779
Maintenance,269,945,900,2486,1179,2023,Audi A4 Prestige S line 4dr Sedan AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,51779
Repairs,0,0,0,858,1310,2023,Audi A4 Prestige S line 4dr Sedan AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,51779
Taxes_Fees,3518,251,225,204,204,2023,Audi A4 Prestige S line 4dr Sedan AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,51779
Financing,4096,3337,2504,1589,582,2023,Audi A4 Prestige S line 4dr Sedan AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,51779
Depreciation,13721,3627,2965,3323,2903,2023,Audi A4 Prestige S line 4dr Sedan AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,51779
Fuel,2452,2526,2601,2679,2760,2023,Audi A4 Prestige S line 4dr Sedan AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,51779
Insurance,1597,1653,1711,1771,1833,2023,Audi A5 Convertible Premium S line 2dr Convertible AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,55812
Maintenance,269,1077,956,2626,1356,2023,Audi A5 Convertible Premium S line 2dr Convertible AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,55812
Repairs,0,0,0,858,1310,2023,Audi A5 Convertible Premium S line 2dr Convertible AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,55812
Taxes_Fees,3677,262,235,213,213,2023,Audi A5 Convertible Premium S line 2dr Convertible AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,55812
Financing,4415,3597,2699,1713,627,2023,Audi A5 Convertible Premium S line 2dr Convertible AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,55812
Depreciation,14278,4024,3285,3684,3218,2023,Audi A5 Convertible Premium S line 2dr Convertible AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,55812
Fuel,2545,2621,2700,2781,2864,2023,Audi A5 Convertible Premium S line 2dr Convertible AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,55812
Insurance,1621,1678,1736,1797,1860,2023,Audi A5 Hatchback Premium 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,49197
Maintenance,269,1077,956,2626,1356,2023,Audi A5 Hatchback Premium 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,49197
Repairs,0,0,0,858,1310,2023,Audi A5 Hatchback Premium 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,49197
Taxes_Fees,3261,232,208,189,189,2023,Audi A5 Hatchback Premium 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,49197
Financing,3891,3171,2380,1509,553,2023,Audi A5 Hatchback Premium 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,49197
Depreciation,12576,3546,2895,3246,2836,2023,Audi A5 Hatchback Premium 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,49197
Fuel,2452,2526,2601,2679,2760,2023,Audi A5 Hatchback Premium 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,49197
Insurance,1621,1678,1736,1797,1860,2023,Audi A5 Premium 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,47082
Maintenance,269,1077,956,2626,1356,2023,Audi A5 Premium 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,47082
Repairs,0,0,0,858,1310,2023,Audi A5 Premium 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,47082
Taxes_Fees,3128,223,200,181,181,2023,Audi A5 Premium 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,47082
Financing,3724,3035,2277,1444,529,2023,Audi A5 Premium 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,47082
Depreciation,12234,3372,2753,3087,2696,2023,Audi A5 Premium 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,47082
Fuel,2364,2435,2508,2583,2660,2023,Audi A5 Premium 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,47082
Insurance,1621,1678,1736,1797,1860,2023,Audi A5 Premium Plus 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,51221
Maintenance,269,1077,956,2626,1356,2023,Audi A5 Premium Plus 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,51221
Repairs,0,0,0,858,1310,2023,Audi A5 Premium Plus 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,51221
Taxes_Fees,3388,242,216,196,196,2023,Audi A5 Premium Plus 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,51221
Financing,4051,3302,2477,1572,575,2023,Audi A5 Premium Plus 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,51221
Depreciation,13165,3685,3008,3374,2947,2023,Audi A5 Premium Plus 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,51221
Fuel,2364,2435,2508,2583,2660,2023,Audi A5 Premium Plus 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,51221
Insurance,1686,1745,1806,1869,1935,2023,Audi A5 Premium Plus S line 4dr Hatchback AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,54501
Maintenance,269,1077,956,2626,1356,2023,Audi A5 Premium Plus S line 4dr Hatchback AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,54501
Repairs,0,0,0,858,1310,2023,Audi A5 Premium Plus S line 4dr Hatchback AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,54501
Taxes_Fees,3594,256,230,208,208,2023,Audi A5 Premium Plus S line 4dr Hatchback AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,54501
Financing,4311,3513,2636,1672,612,2023,Audi A5 Premium Plus S line 4dr Hatchback AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,54501
Depreciation,14856,3702,3025,3390,2962,2023,Audi A5 Premium Plus S line 4dr Hatchback AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,54501
Fuel,2452,2526,2601,2679,2760,2023,Audi A5 Premium Plus S line 4dr Hatchback AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,54501
Insurance,1602,1658,1716,1776,1838,2023,Audi A5 Premium S line 2dr Convertible AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,64848
Maintenance,269,1077,956,2626,1356,2023,Audi A5 Premium S line 2dr Convertible AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,64848
Repairs,0,0,0,858,1310,2023,Audi A5 Premium S line 2dr Convertible AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,64848
Taxes_Fees,4245,303,271,246,246,2023,Audi A5 Premium S line 2dr Convertible AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,64848
Financing,5129,4180,3137,1989,729,2023,Audi A5 Premium S line 2dr Convertible AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,64848
Depreciation,17553,4576,3736,4189,3660,2023,Audi A5 Premium S line 2dr Convertible AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,64848
Fuel,2545,2621,2700,2781,2864,2023,Audi A5 Premium S line 2dr Convertible AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,64848
Insurance,1664,1722,1783,1845,1909,2023,Audi A5 Premium S line 2dr Coupe AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,57995
Maintenance,269,1077,956,2626,1356,2023,Audi A5 Premium S line 2dr Coupe AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,57995
Repairs,0,0,0,858,1310,2023,Audi A5 Premium S line 2dr Coupe AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,57995
Taxes_Fees,3814,272,244,221,221,2023,Audi A5 Premium S line 2dr Coupe AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,57995
Financing,4587,3738,2805,1780,651,2023,Audi A5 Premium S line 2dr Coupe AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,57995
Depreciation,15322,4131,3372,3782,3303,2023,Audi A5 Premium S line 2dr Coupe AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,57995
Fuel,2452,2526,2601,2679,2760,2023,Audi A5 Premium S line 2dr Coupe AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,57995
Insurance,1686,1745,1806,1869,1935,2023,Audi A5 Premium S line 4dr Hatchback AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,48580
Maintenance,269,1077,956,2626,1356,2023,Audi A5 Premium S line 4dr Hatchback AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,48580
Repairs,0,0,0,858,1310,2023,Audi A5 Premium S line 4dr Hatchback AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,48580
Taxes_Fees,3222,230,206,187,187,2023,Audi A5 Premium S line 4dr Hatchback AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,48580
Financing,3843,3131,2349,1491,546,2023,Audi A5 Premium S line 4dr Hatchback AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,48580
Depreciation,11868,3560,2906,3259,2847,2023,Audi A5 Premium S line 4dr Hatchback AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,48580
Fuel,2452,2526,2601,2679,2760,2023,Audi A5 Premium S line 4dr Hatchback AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,48580
Insurance,1643,1701,1760,1822,1885,2023,Audi A5 Prestige 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,55656
Maintenance,269,1077,956,2626,1356,2023,Audi A5 Prestige 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,55656
Repairs,0,0,0,858,1310,2023,Audi A5 Prestige 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,55656
Taxes_Fees,3667,262,234,213,213,2023,Audi A5 Prestige 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,55656
Financing,4402,3588,2691,1708,625,2023,Audi A5 Prestige 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,55656
Depreciation,14311,4005,3270,3667,3203,2023,Audi A5 Prestige 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,55656
Fuel,2364,2435,2508,2583,2660,2023,Audi A5 Prestige 4dr Hatchback AWD w/40 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,55656
Insurance,1625,1682,1741,1802,1865,2023,Audi A5 Prestige S line 2dr Convertible AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,61174
Maintenance,269,1077,956,2626,1356,2023,Audi A5 Prestige S line 2dr Convertible AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,61174
Repairs,0,0,0,858,1310,2023,Audi A5 Prestige S line 2dr Convertible AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,61174
Taxes_Fees,4015,286,257,233,233,2023,Audi A5 Prestige S line 2dr Convertible AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,61174
Financing,4839,3943,2958,1877,688,2023,Audi A5 Prestige S line 2dr Convertible AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,61174
Depreciation,15240,4204,3436,3850,3362,2023,Audi A5 Prestige S line 2dr Convertible AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,61174
Fuel,2545,2621,2700,2781,2864,2023,Audi A5 Prestige S line 2dr Convertible AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,61174
Insurance,1643,1701,1760,1822,1885,2023,Audi A5 Prestige S line 2dr Coupe AWD w/45 TFSI,2.0L 4cyl Turbo gas/electric mild hybrid 7AM,54417
